Key,Year,Start,End,Title,Day Type,Tags,Marker,PDF
pdf/2026-2027/2026-08-18/first-day-of-school,2026-2027,2026-08-18,2026-08-18,First Day of School,,"Hummingbirds, Hawks, Falcons, Jays, Ravens, Condors, Ospreys, Egrets, Herons",First Day,0f3c5e
pdf/2026-2027/2026-08-18/12-30p-dismissals-k-only,2026-2027,2026-08-18,2026-08-19,12:30p Dismissals (K only),Early Dismissal,Hummingbirds,,0f3c5e
pdf/2026-2027/2026-08-21/professional-development-half-day,2026-2027,2026-08-21,2026-08-21,"Professional Development, half day",Early Dismissal,"Hummingbirds, Hawks, Falcons, Jays, Ravens, Condors, Ospreys, Egrets, Herons",,0f3c5e
pdf/2026-2027/2026-09-07/labor-day,2026-2027,2026-09-07,2026-09-07,Labor Day,No School,"Hummingbirds, Hawks, Falcons, Jays, Ravens, Condors, Ospreys, Egrets, Herons",,0f3c5e
pdf/2026-2027/2026-09-29/returning-grade-ilp-conference-half-days,2026-2027,2026-09-29,2026-10-02,"Returning Grade ILP Conference, half days",Early Dismissal,"Hummingbirds, Hawks, Falcons, Jays, Ravens, Condors, Ospreys, Egrets, Herons",,0f3c5e
pdf/2026-2027/2026-11-15/second-tuition-installment-due,2026-2027,2026-11-15,2026-11-15,Second Tuition Installment Due,,"Hummingbirds, Hawks, Falcons, Jays, Ravens, Condors, Ospreys, Egrets, Herons",,0f3c5e
pdf/2026-2027/2026-11-23/thanksgiving-break,2026-2027,2026-11-23,2026-11-27,Thanksgiving Break,No School,"Hummingbirds, Hawks, Falcons, Jays, Ravens, Condors, Ospreys, Egrets, Herons",,0f3c5e
pdf/2026-2027/2026-12-21/winter-break,2026-2027,2026-12-21,2027-01-01,Winter Break,No School,"Hummingbirds, Hawks, Falcons, Jays, Ravens, Condors, Ospreys, Egrets, Herons",,0f3c5e
pdf/2026-2027/2027-06-04/last-day-of-school-graduation,2026-2027,2027-06-04,2027-06-04,"Last Day of School, Graduation",Early Dismissal,"Hummingbirds, Hawks, Falcons, Jays, Ravens, Condors, Ospreys, Egrets, Herons",Last Day,0f3c5e
